  longitude  | latitude  |       speed        
-------------+-----------+--------------------
 -122.583432 | 45.622978 |             24.607
 -122.668973 | 45.628737 |             17.896
 -122.668365 | 45.628723 | 20.133000000000003
 -122.667702 | 45.628713 |              22.37
 -122.667008 | 45.628678 |              22.37
 -122.666342 | 45.628623 |              22.37
 -122.665693 |  45.62857 |              22.37
 -122.665048 | 45.628572 |              22.37
 -122.664417 | 45.628617 | 20.133000000000003
 -122.663562 | 45.628655 |             13.422
 -122.663432 | 45.628632 |              4.474
 -122.663232 | 45.628495 |              8.948
 -122.662945 | 45.628472 |              8.948
 -122.662852 | 45.628675 |              8.948
  -122.66287 | 45.628937 |             13.422
 -122.662705 | 45.629287 |             17.896
 -122.662487 | 45.629675 | 20.133000000000003
 -122.662173 | 45.630022 |             17.896
  -122.66183 | 45.630288 |             15.659
 -122.661677 | 45.630408 |              6.711
  -122.66166 | 45.630423 |                  0
  -122.66166 | 45.630423 |                  0
  -122.66166 | 45.630423 |                  0
 -122.661658 | 45.630425 |                  0
 -122.512235 | 45.616282 | 29.081000000000003
  -122.51141 | 45.616185 | 29.081000000000003
 -122.510588 | 45.616088 |             26.844
 -122.509817 | 45.615997 |             26.844
  -122.50925 | 45.615917 |             17.896
 -122.508795 | 45.615862 |             15.659
  -122.50745 |  45.61571 |              22.37
  -122.50676 |  45.61563 |              22.37
  -122.50606 |  45.61557 |             24.607
 -122.505375 | 45.615507 |              22.37
 -122.504795 | 45.615443 |             24.607
 -122.504162 | 45.615387 |             17.896
 -122.503423 |  45.61539 |             24.607
 -122.502657 | 45.615513 |             26.844
 -122.501898 | 45.615713 |             33.555
 -122.501127 | 45.615937 | 29.081000000000003
 -122.500345 | 45.616158 | 29.081000000000003
 -122.499595 |  45.61637 |             26.844
 -122.498865 | 45.616578 |             26.844
 -122.498112 |  45.61679 |             26.844
 -122.497343 | 45.616977 |             26.844
   -122.4966 |  45.61708 |             24.607
 -122.495897 | 45.617088 |             24.607
 -122.495183 | 45.617008 |             24.607
 -122.494478 | 45.616847 |             24.607
 -122.493872 | 45.616632 |              22.37
 -122.493452 | 45.616422 |             15.659
 -122.492992 | 45.616143 | 20.133000000000003
 -122.492378 | 45.615803 |             26.844
  -122.49164 | 45.615523 | 29.081000000000003
  -122.49081 | 45.615343 | 29.081000000000003
  -122.48993 | 45.615268 | 29.081000000000003
 -122.489033 | 45.615263 | 29.081000000000003
 -122.488153 | 45.615265 | 29.081000000000003
 -122.487317 | 45.615262 |             26.844
 -122.486508 | 45.615257 |             26.844
 -122.485705 | 45.615255 |             26.844
 -122.484913 | 45.615257 |             26.844
 -122.484143 | 45.615262 |             26.844
 -122.483357 | 45.615325 |             26.844
 -122.482562 | 45.615468 |             26.844
 -122.481768 | 45.615698 | 29.081000000000003
 -122.481015 | 45.616013 | 29.081000000000003
 -122.480308 | 45.616345 | 29.081000000000003
 -122.479602 | 45.616593 |             26.844
 -122.478922 |  45.61675 |             24.607
 -122.477592 | 45.616875 |              22.37
 -122.476967 | 45.616873 | 20.133000000000003
 -122.476458 |  45.61687 |             15.659
 -122.476175 | 45.616862 |              4.474
  -122.47606 | 45.616673 |             11.185
 -122.476163 |  45.61641 |             13.422
 -122.476188 | 45.616245 |              6.711
 -122.476182 | 45.616177 |                  0
 -122.476135 | 45.615903 |             13.422
 -122.476118 | 45.615408 |             24.607
 -122.476122 | 45.614835 |             26.844
 -122.476112 | 45.614233 | 29.081000000000003
 -122.476107 | 45.613615 | 29.081000000000003
 -122.476103 | 45.612987 | 29.081000000000003
 -122.476093 |  45.61235 |             31.318
 -122.476078 | 45.611703 |             31.318
  -122.47606 |  45.61108 | 29.081000000000003
 -122.476048 | 45.610498 |             26.844
 -122.476035 | 45.609927 |             26.844
 -122.476028 | 45.609338 | 29.081000000000003
 -122.476025 | 45.608737 | 29.081000000000003
 -122.476022 | 45.608145 |             24.607
 -122.476012 |  45.60763 |             26.844
 -122.476002 | 45.607243 |             15.659
 -122.475997 | 45.607047 |              8.948
  -122.47599 | 45.606977 |              2.237
  -122.47599 | 45.606977 |                  0
 -122.475988 | 45.606975 |                  0
 -122.475993 | 45.606965 |                  0
 -122.475993 | 45.606952 |                  0
 -122.475995 | 45.606935 |                  0
 -122.475998 |  45.60672 |             11.185
 -122.475998 | 45.606253 |              22.37
 -122.475995 |  45.60565 | 29.081000000000003
  -122.47599 | 45.605015 |             31.318
 -122.475985 | 45.604362 |             31.318
 -122.476012 | 45.603718 |             31.318
 -122.476198 | 45.603077 |             31.318
 -122.476577 | 45.602472 |             31.318
 -122.477022 | 45.601898 |             31.318
 -122.477458 | 45.601333 |             31.318
 -122.477875 | 45.600767 |             31.318
 -122.478183 |  45.60014 |             31.318
 -122.478312 | 45.599465 |             33.555
 -122.478312 | 45.598823 |             31.318
 -122.478308 |  45.59822 | 29.081000000000003
 -122.478303 | 45.597638 |             26.844
 -122.478298 | 45.597157 |              22.37
 -122.478315 | 45.596853 |             13.422
 -122.478622 |  45.59671 |             13.422
 -122.479318 | 45.596708 |             24.607
 -122.480235 | 45.596712 |             31.318
 -122.481267 | 45.596708 |             33.555
 -122.482348 | 45.596683 |             35.792
 -122.483443 | 45.596685 |             35.792
  -122.48556 | 45.596678 |             35.792
  -122.48663 | 45.596703 |             35.792
 -122.487663 |  45.59678 |             35.792
 -122.488675 | 45.596792 |             33.555
