 latitude  |  longitude  |       speed        
-----------+-------------+--------------------
 45.594527 | -122.505092 |              8.948
  45.61338 | -122.585612 |             26.844
  45.61395 |   -122.5856 |             26.844
 45.614518 | -122.585593 |             26.844
 45.615102 | -122.585583 |             26.844
 45.615617 |  -122.58558 |             24.607
 45.616038 | -122.585622 | 20.133000000000003
 45.616253 | -122.585628 |              8.948
 45.616253 | -122.585628 |                  0
 45.616253 | -122.585628 |                  0
 45.616283 | -122.585628 |              2.237
 45.616483 |  -122.58567 |              8.948
 45.616627 | -122.585973 |             11.185
 45.616733 |  -122.58656 | 20.133000000000003
   45.6169 | -122.587425 |             31.318
 45.617087 | -122.588375 |             33.555
 45.617277 | -122.589347 |             33.555
 45.617457 | -122.590248 |             31.318
 45.617618 | -122.591093 | 29.081000000000003
  45.61782 | -122.592112 |             35.792
 45.618025 | -122.593162 |             35.792
 45.618228 | -122.594198 |             35.792
  45.61843 | -122.595208 |             35.792
 45.618702 | -122.596192 |             35.792
  45.61902 | -122.597213 |             38.029
  45.61933 | -122.598223 |             38.029
 45.619632 | -122.599215 |             35.792
 45.619925 | -122.600193 |             35.792
   45.6202 | -122.601063 |             31.318
 45.620423 |   -122.6017 |              22.37
   45.6205 | -122.601963 |              6.711
 45.620538 | -122.602065 |              4.474
 45.620738 |  -122.60213 |              8.948
 45.621187 | -122.602118 |              22.37
 45.621843 | -122.602117 |             31.318
 45.622512 | -122.601913 |             33.555
 45.623147 |  -122.60164 |             31.318
  45.62384 | -122.601597 |             33.555
 45.624515 | -122.601598 |             31.318
 45.625162 | -122.601598 |             31.318
 45.625697 | -122.601598 |             24.607
 45.626153 | -122.601602 |             17.896
 45.626338 | -122.601602 |              6.711
 45.626357 | -122.601605 |                  0
 45.626493 | -122.601603 |              6.711
 45.626868 | -122.601595 |             17.896
 45.627372 | -122.601613 |             24.607
 45.627985 |  -122.60166 | 29.081000000000003
 45.628635 | -122.601627 |             31.318
 45.629332 | -122.601562 |             33.555
 45.630038 |  -122.60149 |             33.555
 45.630758 |  -122.60141 |             35.792
  45.63146 | -122.601268 |             33.555
 45.632115 | -122.601058 |             31.318
 45.594435 | -122.504877 |              6.711
 45.632805 | -122.600727 |             35.792
 45.633458 | -122.600363 |             33.555
 45.634082 | -122.600132 |             31.318
 45.634773 | -122.600043 |             33.555
 45.635472 |  -122.60006 |             33.555
 45.636025 | -122.600113 |             24.607
   45.6364 | -122.600132 |             15.659
 45.594337 | -122.504678 |              6.711
  45.63653 | -122.600127 |              4.474
 45.594238 | -122.504402 |              8.948
 45.594138 | -122.504145 |              8.948
   45.5939 |  -122.50408 |             11.185
 45.593575 | -122.504083 |             15.659
