,ARRIVE_TIME
0,26205.0
1,26210.0
2,26215.0
3,26220.0
4,26225.0
5,26230.0
6,26235.0
7,26240.0
8,26245.0
9,26250.0
10,26255.0
11,26260.0
12,26265.0
13,26270.0
14,26275.0
15,26280.0
16,26285.0
17,26290.0
18,26295.0
19,26300.0
20,26305.0
21,26310.0
22,26320.0
23,26325.0
24,26330.0
25,26335.0
26,26340.0
27,26345.0
28,26350.0
29,26355.0
30,26360.0
31,26364.0
32,26375.0
33,26380.0
34,26385.0
35,26390.0
36,26395.0
37,26400.0
38,26405.0
39,26410.0
40,26415.0
41,26420.0
42,26425.0
43,26430.0
44,26435.0
45,26440.0
46,26445.0
47,26450.0
48,26455.0
49,26460.0
50,26465.0
51,26470.0
52,26475.0
53,26480.0
54,26485.0
55,26490.0
56,26495.0
57,26500.0
58,26505.0
59,26510.0
60,26515.0
61,26520.0
62,26525.0
63,26530.0
64,26535.0
65,26540.0
66,26545.0
67,26550.0
68,26555.0
69,26560.0
70,26565.0
71,26570.0
72,26575.0
73,26580.0
74,26585.0
75,26590.0
76,26595.0
77,26600.0
78,26605.0
79,26610.0
80,26615.0
81,26620.0
82,26630.0
83,26635.0
84,26640.0
85,26645.0
86,26650.0
87,26655.0
88,26660.0
89,26665.0
90,26670.0
91,26675.0
92,26680.0
93,26685.0
94,26690.0
95,26695.0
96,26700.0
97,26705.0
98,26710.0
99,26715.0
100,26720.0
101,26725.0
102,26730.0
103,26735.0
104,26740.0
105,26745.0
106,26750.0
107,26755.0
108,26760.0
109,26765.0
110,26770.0
111,26775.0
112,26780.0
113,26785.0
114,26790.0
115,26795.0
116,26800.0
117,26805.0
118,26855.0
119,26860.0
120,26865.0
121,26870.0
122,26875.0
123,26880.0
124,26884.0
125,26890.0
126,26895.0
127,26900.0
128,26905.0
129,26910.0
130,26915.0
131,26920.0
132,26925.0
133,26930.0
134,26935.0
135,26940.0
136,26945.0
137,26950.0
138,26955.0
139,26960.0
140,26965.0
141,26970.0
142,26975.0
143,26980.0
144,26985.0
145,26990.0
146,26994.0
147,26995.0
148,27000.0
149,27005.0
150,27010.0
151,27015.0
152,27020.0
153,27025.0
154,27030.0
155,27035.0
156,28252.0
157,28257.0
158,28262.0
159,28267.0
160,28272.0
161,28277.0
162,28282.0
163,28287.0
164,28292.0
165,28297.0
166,28302.0
167,28307.0
168,28357.0
169,28362.0
170,28367.0
171,28372.0
172,28377.0
173,28382.0
174,28387.0
175,28392.0
176,28397.0
177,28402.0
178,28407.0
179,28417.0
180,28422.0
181,28427.0
182,28432.0
183,28437.0
