,County,TotalPop,State
0,Autauga County,1845,Alabama
1,Autauga County,2172,Alabama
2,Autauga County,3385,Alabama
3,Autauga County,4267,Alabama
4,Autauga County,9965,Alabama
5,Autauga County,3620,Alabama
6,Autauga County,3420,Alabama
7,Autauga County,2913,Alabama
8,Autauga County,11333,Alabama
9,Autauga County,6167,Alabama
10,Autauga County,2796,Alabama
11,Autauga County,3153,Alabama
12,Baldwin County,3988,Alabama
13,Baldwin County,3259,Alabama
14,Baldwin County,9056,Alabama
15,Baldwin County,4810,Alabama
16,Baldwin County,5038,Alabama
17,Baldwin County,3418,Alabama
18,Baldwin County,8068,Alabama
19,Baldwin County,17748,Alabama
20,Baldwin County,5883,Alabama
21,Baldwin County,9704,Alabama
22,Baldwin County,7499,Alabama
23,Baldwin County,5688,Alabama
24,Baldwin County,6342,Alabama
25,Baldwin County,8009,Alabama
26,Baldwin County,5473,Alabama
27,Baldwin County,4072,Alabama
28,Baldwin County,10485,Alabama
29,Baldwin County,4296,Alabama
30,Baldwin County,5136,Alabama
31,Baldwin County,6179,Alabama
32,Baldwin County,4710,Alabama
33,Baldwin County,10180,Alabama
34,Baldwin County,10050,Alabama
35,Baldwin County,4386,Alabama
36,Baldwin County,3331,Alabama
37,Baldwin County,5123,Alabama
38,Baldwin County,708,Alabama
39,Baldwin County,6334,Alabama
40,Baldwin County,11801,Alabama
41,Baldwin County,7131,Alabama
42,Baldwin County,5455,Alabama
43,Baldwin County,0,Alabama
44,Barbour County,3071,Alabama
45,Barbour County,4291,Alabama
46,Barbour County,1813,Alabama
47,Barbour County,3721,Alabama
48,Barbour County,3365,Alabama
49,Barbour County,2120,Alabama
50,Barbour County,1775,Alabama
51,Barbour County,2157,Alabama
52,Barbour County,3888,Alabama
53,Bibb County,2643,Alabama
54,Bibb County,6201,Alabama
55,Bibb County,5032,Alabama
56,Bibb County,8704,Alabama
57,Blount County,7532,Alabama
58,Blount County,7285,Alabama
59,Blount County,3572,Alabama
60,Blount County,4937,Alabama
61,Blount County,4637,Alabama
62,Blount County,7526,Alabama
63,Blount County,4146,Alabama
64,Blount County,9317,Alabama
65,Blount County,8715,Alabama
66,Bullock County,1488,Alabama
67,Bullock County,5608,Alabama
68,Bullock County,3382,Alabama
69,Butler County,2089,Alabama
70,Butler County,1284,Alabama
71,Butler County,2351,Alabama
72,Butler County,1523,Alabama
73,Butler County,3084,Alabama
74,Butler County,3957,Alabama
75,Butler County,1869,Alabama
76,Butler County,2695,Alabama
77,Butler County,1274,Alabama
78,Calhoun County,2488,Alabama
79,Calhoun County,2579,Alabama
80,Calhoun County,2810,Alabama
